,scores,weight,cluster,mean,var,date,doc_id
0,-0.08333333333333333,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
1,-0.025,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
2,0.1875,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
3,0.0,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
4,0.375,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
5,0.15,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
6,-0.1875,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
7,0.25,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
8,-0.125,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
9,-0.375,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
10,0.1,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
11,-0.0625,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
12,0.125,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
13,0.0,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
14,0.041666666666666664,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
15,0.0625,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
16,0.3333333333333333,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
17,-0.05,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
18,-0.25,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
19,0.0,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
20,-0.175,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
21,-0.09375,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
22,0.2,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
23,0.125,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
24,-0.175,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
25,0.0,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
26,0.125,0.15976331360946747,0,0.017515432098765434,0.02977953294086267,2008-04-18,3
0,0.1875,0.11242603550295859,1,-0.004495614035087706,0.062389557363804235,2008-04-18,3
1,0.0,0.11242603550295859,1,-0.004495614035087706,0.062389557363804235,2008-04-18,3
