,scores,weight,cluster,mean,var,date,doc_id
0,0.125,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
1,-0.125,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
2,0.5,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
3,-0.03125,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
4,0.0,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
5,0.0625,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
6,0.15625,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
7,0.0,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
8,-0.0625,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
9,0.34375,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
10,-0.05,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
11,0.25,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
12,0.625,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
13,0.25,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
14,0.1875,0.23076923076923078,1,0.14875000000000002,0.0436,2005-11-01,0
0,0.075,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
1,0.20833333333333334,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
2,0.25,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
3,0.10416666666666667,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
4,-0.025,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
5,-0.15,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
6,-0.125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
7,0.03125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
8,-0.125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
9,0.125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
10,-0.25,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
11,-0.34375,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
12,-0.375,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
13,0.3125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
14,0.08333333333333333,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
15,0.046875,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
16,-0.1875,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
17,-0.275,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
18,-0.625,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
19,-0.25,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
20,0.4375,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
21,0.125,0.38461538461538464,3,-0.02491071428571429,0.0568235048185941,2005-11-01,0
